id,description
152929,Confidential and culturally sensitive mental health counseling services for adolescents and adults.
154011,"Provides books, audio visual equipment, wireless Internet access, and other resources for residents of pend Oreille county."
154030,Participants learn how to use adaptive Software and technology. On site computer labs and library available.
157792,"Total health care including prescriptions, dental care, physician delivery, and other necessary hospital costs."
157806,Dialysis services including hemodialysis and peritoneal dialysis
158848,"Provide for the spiritual care of patients with severe, chronic or terminal conditions and their families regardless of their religious traditions."
159607,Provide an ongoing supply of groceries for people whose income is not sufficient to meet their needs.
159631,Food pantry serves individuals and families in need who are residents of Delaware county. Pantry can be used once a month.
159740,"Provides education programs in ged preparation, and academic credit."
159743,Emergency food available by appointment only
159885,Help to pay for prescriptions. Works in collaboration with Taco food pantry.
160956,"Provide emotional support, information and guidance to help people resolve whatever personal or interpersonal difficulties they are experiencing."
160998,"Provides individual and family counseling for Children experiencing a wide range of social, emotional, and behavioral problems from mild to moderate severity."
161028,Provides general counseling to families and couples.
162328,A play therapy and counseling center with the focus of helping people of all ages work through the issues and problems of everyday life
167051,"Various health education services are offered at each health center including those focused on diabetes, obesity and asthma."
170128,City of refuge is a homeless shelter for all veterans. No drinking allowed. Fathers with Children and married couples can be served.
170165,"Job readiness and college placement, life skills, high diploma, academic tutoring"
170174,"The Mha provides advocacy, educational programs, speakers, literature, films, tapes, and information and referral. They also participate in health fairs as well as service planning."
170209,Louisiana Seniorx helps to link eligible seniors with assistance for obtaining their prescription medications.
170498,"The shelter provides transitional housing, food, clothing, counseling, case management and education to men, Women, families and adult couples. Maximum stay is 18 months."
172286,Volunteer tax preparation.
172290,Advocacy for abused and neglected Children involved in the court system.
172367,"To provide quality mentoring services to the Children and families of chase, Coffey, Lyon, and morris counties."
172395,Strive to eliminate poverty housing in arkansas city. Build one new house each year.
172901,Represents indigent individuals.
172912,Provides vocational and other rehabilitation services to qualified persons with disabilities.
174111,Provides a nutritious meal to anyone in need every Monday through Friday. Also offers a clothing closet to those in need.
174491,A voluntary organization. Provides one hot and one cold meal daily. Volunteers prepare meals and to deliver meals.
174631,"Provides home delivered meals to disabled seniors, ages 60 and up."
175532,Provides various affordable permanent housing units.
175547,Screens for eligibility for public housing.
176723,Provides single room occupancy transitional housing for males on a weekly or monthly basis. Residents receive daily meals and access to drug and alcohol therapist.
177257,Provides Hiv testing and counseling for at risk adolescents and young adults ages 12 through 24.
177434,"Community Homehealth care offers nursing care, physical therapy, occupational therapy, speech pathology, medical social, and home health aide services."
177482,"Bayada home health care provides nursing, rehabilitative, therapeutic, hospice, respite and assistive care services to people of all ages in the comfort of their homes."
179110,"Treats eye diseases, full eye exams, fits both eyeglasses and contact lenses. Accepts Medicaid and Medicare."
179155,The housing authority provides section 8 housing for low income persons.
181758,"Provide clothing, shoes, outerwear, free to those in need."
182210,"To preach the gospel of jesus Christ and to meet basic human needs. Provides food, financial assistance, budget counseling, and case management and referral services."
182315,Thrift shop for low income individuals that reside in berks county
182420,Provides free work clothing. Open to anyone that is employed. Referral voucher required.
182764,"Provides transportation services to medical services, senior community centers, social services, and to shopping and banking facilities."
182773,Provides adult clothing for job interviews only
183952,Various behavioral health services are offered at each health center.
185046,"Assists military personnel, including active duty, reserves, national guard, and dependents of disabled or deceased eligible veterans with obtaining educational financial aid benefits."
187252,Offers two part day head start programs for Children ages 3 and 4 with early intervention and school readiness programs for Baltimore city residents.
188846,Provides legal representation to income eligible individuals who have been arrested or summoned for a criminal offense.
192351,"Support groups for substance abuse and narcotics offered in Maryland, northern Virginia and the district of Columbia."
193066,Offers utility assistance.
193180,Provides recreational and sports activities that all ages in the community can participate in.
193242,"Facility that provides a variety of programs including recreational activities, leisure activities, health and fitness activities, and community interest activities."
193280,"Provides recreational activities for seniors in the auburn area including volleyball, softball, golf, pool tournaments, hikes, walks and seasonal outdoor activities."
194542,"Provides assistance to job seekers including resume writing, access to employment, other job seeking assistance."
194835,"Administers programs including providing food boxes, clothing and furniture vouchers, rental and utility assistance, diapers, and formula. Help provided by volunteers out of each catholic parish."
194969,"General acute care hospital offering inpatient, outpatient, emergency medical and surgical services, and a level i trauma center."
195172,"Multipurpose recreation center with a dance room, game room, recording studio, study room, classrooms, and a teen lounge."
195342,"Provides transitional housing, case management, and supportive services for homeless families."
195663,"Provides counseling, tutoring, and adult and youth development programs."
197142,Public library for the Claysburg area.
197145,"A variety of recordings, tapes and cds accessible to library patrons."
197210,"Summer celebration day camp provides recreational activities, lunch and an afternoon snack, and transportation for any registered child."
197521,Smoking cessation program available for patients who show the desire to want to quit smoking.
198305,Pregnancy testing and pregnancy counseling.
198550,The Sendero program is specifically for Latino consumers whose primary language is Spanish.
198875,Helps homeowners prevent foreclosure and helps homeowners whose home are being foreclosed on.
199687,"Project star is an adoption and foster care agency, with offices in Pittsburgh and beaver falls, committed to providing safe, nurturing and encouraging environments for special needs Children."
201801,A support group for Women who have type 1 or insulin dependent diabetes. The group offers emotional support and information for managing and coping with diabetes.
202025,Provides recovery help with support groups
202481,Doylestown ms support group provides peer led support.
202516,Support group for caregivers.
203124,"Provides hope, healing and forgiveness for Women who struggle with the pain and grief of abortion."
203441,"Provides individual counseling and support groups for victims of domestic and sexual violence, as well as their significant others."
204310,Open to all cancer patients and their families
204413,Supportive services for substance abuse.
205707,Distributes dollar energy applications for electric service
205779,"Find planning guides, applications and information to receive financial benefits, and a link to receive temporary emergency financial assistance for veterans residing in Pennsylvania."
208017,"Provides support groups for patients, survivors, families, and friends dealing with cancer related issues."
208198,Provides a support group to discuss addiction of narcotics on a spiritual level.
208240,Currently screening for waiting list. Single Women with Children only.
208292,A renewed sense of hope and healing for those struggling after abortion. An eight session small support group is offered quarterly.
211183,Aarp tax preparation assistance for low income individuals and families with simple tax forms.
211291,"Provides information and referral for topics specific to kinship families including support groups, legal issues related to kinship, working with dhs and licensing."
211537,"Offers adult education opportunities, dependent on age and program needs. Programs available include adult basic education, high school completion, ged instruction, and English as a second language."
211676,"Provides caregivers a break from caregiving duties, for four hour blocks of time, once a week. Respite care is provided by aides who have been screened and trained by the commission on aging."
211953,"Provides individual advocacy, counseling, therapy, transportation, information and referrals to individuals affected by a domestic violence, sexual assault or stalking."
212514,Accepts donations of baby furniture.
212545,Baby pantry helps with clothing and other items. One visit per pregnancy. A layette is supplied.
212781,"Provides counseling and support groups for those that have experienced loss because of a miscarriage, pregnancy termination, stillbirth, Newborn infant death, or sudden infant death syndrome."
212803,"Offers grief support to families of Midmichigan home care patients including support groups, individual counseling and referrals to community professionals for further support."
213700,"Offers various computer classes to area residents, free of charge."
214825,Noon congregate meal providing one third of the Usda daily requirements. Please call a day ahead for a reservation.
214878,The center provides hot lunches at two sites within Hillsdale county.
214919,Offers a variety of leisure and enrichment classes including recreational offerings and more.
215093,Provides a space for the community to go to in cases of severe weather emergencies and mass power outages.
215163,Offers a place for seniors to escape the heat or cold.
215288,Responsible for general law enforcement activities throughout the county and over sees the county jail.
215593,"Provides telephone support to individuals facing any situation by trained counselors. Provides referrals to community resources, listens to concerns and helps find solutions. Calls are confidential."
215725,Allows volunteers to grow fresh produce that community members can harvest.
215813,Offers a free community meal once a month.
215849,Hosts a community breakfast for area residents.
216020,"Donations accepted for personal care needs closet assisting with diapers, wipes, Toothpaste, toilet tissue, laundry detergent, cleaning supplies for Medicaid recipients."
216713,Provides faith based activities for high school students.
216805,"Accepts donations of household items including sheets, towels, small appliances, dishes, pots and pans as well as clothing, new or gently used toys, furniture and baby items."
216987,"Accepts donations of eye glasses, cell phones, batteries, christmas lights and, gleaners food bank donations."
217273,Serves those in need in the Byron township area with a week to 10 days supply of groceries for each family. Clothing as needed and available.
217307,"Distributes food, diapers and clothing for needy infants, toddlers and their families in Clinton county."
217650,Provides financial assistance for housing related issues by coordinating community resources. At risk homeless individuals or families can apply.
217690,Food pantry by appointment on tuesdays and thursdays.
217810,Program addresses the unique concerns of new parents. Focuses on special needs of group members as they adjust to their new Lifestyle and baby.
217959,Donated food is distributed to those in need following a short service.
217991,Senior center opens its doors as a cooling and warming center for residents of the community to stay safe during extreme heat or cold emergencies.
218034,"Provides shelter for exotic animals such as fish, reptiles and birds during mass power outages only."
218104,Provides food packages to individuals and families in need. Packages typically contain canned goods and frozen meats.
218189,Food pantry and emergency assistance for anyone in need. Any request will be considered.
221824,Provides in home solutions and services with a variety of resources to support independent living.
221866,Ministry and support to persons with various physical and cognitive disabilities.
221953,"Provides transportation for medical appointments to barry county residents into a nine county area including Allegan, Eaton, Calhoun, Ionia, kent, st Joseph, branch, cass and Berrien counties."
222028,Offers gas money for medical appointments.
222218,"Provides safe, sanitary, decent and affordable housing to moderate low income senior citizens and people disabled."
222495,"Accepts donations of used, fully functional wheelchairs, walkers, canes, bath seats and raised toilet seats for distribution to area residents in need"
222563,Providing grief support sessions to those in need.
222663,Provides access to clothing in cascade
222680,Delivering meals to seniors over 60 who are unable to shop or cook for themselves.
222794,Clothing pantry serving Saginaw county residents on wednesdays.
222835,"Offers adult and child domestic violence and sexual assault counseling, support groups for victims of domestic and sexual violence."
222963,"Provides hot, nutritious meals delivered to homebound seniors and adults as resources allow."
223259,Meeting for schizophrenics anonymous.
223274,Offers a support group for Women who are experiencing Postpartum anxiety and depression.
223472,Provides necessary sickroom equipment.
223568,"Provides family support groups, advocacy, and education for people affected by mental illness in some way."
223677,Provides opportunities for seniors to engage in yoga and exercise on a weekly basis.
223876,Provides a variety of sports and leagues.
223956,Provides training which focuses on the knowledge and skills an individual may need to live independently or make a successful transition to independent living.
223983,"Offering a variety of summer camps featuring sports, arts and crafts, swimming and games"
224498,Hospice and home care in the northern counties.
224864,"Offers health education programs including Cpr instruction, nutritional education, parenting skills information, smoking cessation and weight management services."
224911,Program provides affordable housing rentals to qualified low income families or individuals.
224948,Support groups offered to address a wide range of subjects and conditions. Please call for latest schedule and calendar
225016,Provides apartments for individuals and families with income restrictions.
225111,"Serves as a clearing and referral agency to churches and helping agencies. Provides medical equipment including, but not limited to, Hoyer lifts, hospital beds, crutches and wheelchairs."
225171,Medical equipment available for short term loan.
226808,Offers counseling for those struggling with issues after having an abortion.
228147,Provides assistance with payment of current or past due property taxes.
228848,"Provides access for the community to informational, educational, and recreational resources through the collection, technology and programming."
229622,"This program offers a Vide variety of recreational activities to the seniors which include bridge, pinochle, euchre, dominoes, hand and foot and many other games."
229626,Organization that administers a variety of services and activities to enhance the life of seniors citizens. Also provides transportation to medical appointments.
229704,"Offers a variety of recreational activities to seniors who are interested activities such as bowling, poker instruction or playing cribbage."
229735,"Provides supplemental food, offers professional nutrition education, promotes breastfeeding through the first year of life and makes referrals based on health screening and assessment of need."
229904,Provides emergency aid for a variety of needs to veterans who have served 180 days of war time.
229995,Provides professional clothing for students enrolled in courses that required specialized work clothes.
230116,Gives all the information and factors about the risks of sex including the latest on sexually transmitted infections and the emotional damage by having casual sex.
230317,Program provides assistance with a shutoff notice for utilities. Must have accessed dhs and other agencies first.
230550,Provides support from others who have successfully quite smoking to assist with the quitting process.
230624,Provides supervised activities for students after the school day.
231037,Hot meal every Sunday served by volunteers. Carryout meals available.
231907,The Mayville area thrift shop assists the needy in the community through donations and thrift shop sales.
232310,Volunteer supported non profit thrift store offering gently used items at a reduced cost.
232596,"Provides physical fitness, social and recreational opportunities for adults age 55 and older."
232842,Provides tutoring for students who are having difficulty with their Coursework or who want to get more out of their regular educational program.
232846,Offers after school tutoring for school aged Children. Transporation is provided.
234826,"Sells donated clothing, jewelry, furniture, and appliances."
234985,Provides transportation for veterans to and from scheduled appointments at the Va hospital.
235029,Provides family practice medical care services.
235173,Provides information about and referrals to services for people with cystic fibrosis. Provides health education through literature and a speakers bureau.
235288,"Provides library services including book loans, interlibrary loan, and reference services."
235535,Provides recreation and education programs for adults and seniors.
235537,"Administers recreation and sports programs for residents of all ages. Maintains parks, tennis courts, basketball courts, and ball fields."
235981,"Provide shelter for single Women, married couples, men with custody of Children, and Women with custody of Children. Includes case management."
236003,"Provides a variety of fire prevention and community services including home safety surveys, juvenile Firesetter program, fire extinguisher demonstrations, and smoke detectors for district residents."
236165,Provides weekly support groups for female survivors of domestic violence.
236267,Administers roads and transportation programs.
236294,"Provides a kitchen, food boxes, clothing, and showers for people in need."
239845,"Provide a food pantry and senior services to residents in Lackawanna, 14218 and south buffalo areas."
239952,A peer led discussion group focused on helping substance users.
240609,Day camps and child care resource and referral.
240838,"Provides youth programs, senior citizen programs, and fitness room."
241218,"Provide hospital accompaniment, police accompaniment, court accompaniment, case management, referral services, crisis intervention and counseling for rape and sexual abuse victims."
242156,"Provide recreation activities for town of Lancaster, village of Lancaster and village of Depew residents within the town of Lancaster."
242496,"Long term, residential, chemical dependency after care treatment facility to help adolescent boys who have completed inpatient chemical dependency treatment, transition back into the community."
243999,"This agency is a division of the American heart association that provides support groups, stroke rehabilitation and public awareness on strokes."
244226,"This agency provides counseling, congregate meals, home delivered meals, broker services, career assistance, college entrance support and head start services."
244311,"This agency offers refined diagnostic and advanced surgical treatment procedures for athletes, active adults, senior citizens and weekend warriors."
244315,"This organization provides activity centers, group residences, in home attendants and prevocational training to individuals with special needs."
244319,"This agency provides counseling, domestic violence intervention, employee assistance program and substance abuse assessment."
244320,This agency provides anger management and domestic violence intervention.
244444,"This agency provides kindergarten, elementary, intermediate, middle, primary and secondary schools."
244682,The Dekalb county board of health offers an oral health program for Dekalb county residents.
245185,This library provides book loans and story hour.
245201,"This organization offers emergency financial aid, foster care and adoption, and parenting skills classes. They also maintain a diaper closet for the community."
245345,"The agency provides services for people that are hearing impaired with captioned filmed collections, product evaluation, counseling and hearing aids."
245381,This agency provides quality parks and leisure activities to the citizens of Gwinnett county.
245388,"This agency performs licensing, permitting and enforcement functions regulating the activities of all taxicabs and other vehicles for hire which operate within the city of Atlanta."
245402,This agency offers financial assistance programs to those in need.
245414,This agency provides small business loan programs and Microenterprise development.
245579,"This agency offers churches, schools, companies and civic organizations the opportunity to obtain food boxes."
245604,"This organization provides support groups, services, education, outreach and advocacy for lesbians who have been diagnosed with disease and for those who are committed to living Healthier lives."
245633,"This agency helps to rebuild homes and lives by providing safe, affordable home loans to working families and job skills training."
245681,"This agency provides recreational, educational and support programs for Children with cancer and their families."
245845,This agency offers a food pantry to the community.
245870,"This church offers a food pantry to the community. Food is offered on a first come, first serve basis."
245906,"This agency provides specialized information and referrals, support groups, case management and advocacy to seniors, family members and caregivers in Metro Atlanta."
246060,This organization helps chronic homeless men excel by providing permanent supportive affordable housing and case management services. There is a two year maximum stay in housing program.
246119,"This agency provides financial assistance with water bills, they also assist in obtaining a copy of the birth certificate and id."
246160,Brenau university graduate students majoring in clinical counseling offer counseling services to individuals in the area.
246401,This agency provides head start programs and special preschools Children and their families as well as serving as a lighthouse in the communities.
246482,"This organization provides arts and cultural enrichment workshops, youth art exhibition and youth enrichment programs."
246488,"This organization offers summer camps that include art, music, stories and play. In addition, there are weekly themes such as circus, dinosaurs and trains. Includes an indoor playground."
246506,This organization provides a group home for Children.
253416,Equinox provides transitional housing services to victims of domestic violence.
253652,Provides and monitors a personal emergency response system for senior citizens in Oswego county.
253920,Assesses needs and makes emergency benefits available to individuals meeting Eaa criteria.
253938,A breast cancer support group for patients who are about to have or who recently have had treatment for breast cancer.
254084,Provides a food pantry as a supplementary source for individuals in temporary need and for the working poor.
254362,Provides food donations and distribution to residents of saint Lawrence county.
254514,"Provides food assistance, general provisions and information and referrals to residents of saint Lawrence county."
254598,Provides six items from the food pantry program.
254617,"Open to any adult who has been impacted by alcohol abuse, substance abuse or mental illness in a family member."
254665,Provides support for parents of Children enrolled in Syracuse city school district.
254911,"The hope 7 food pantry needs volunteers to help with unloading trucks, stocking shelves, and serving clients."
254975,The Gloversville transit system provides public transportation.
255146,The Waterford public library provides library services and has five computers available for public use.
255233,The Mechanicville district public library provides library services. There are twelve computers available for public use.
255255,"Provides outpatient services to youth five through 21 years of age who are enrolled in school, primarily those with axis i diagnoses."
255393,The menands public library provides library services to menands area residents.
256193,Peace camp provides a day camp experience for elementary Children focusing on conflict resolution and problem solving.
256475,They offer a bunch of different types of ministry including weekly small groups and a recovery group.
283348,Agency provides numerous work opportunities for people with developmental disabilities in which they are given Paid work and training experiences.
285228,Provides information on abortion alternatives for Women experiencing unplanned pregnancy.
287068,Provides primary medical care services.
287097,Congregate breakfast served on wednesdays and congregate lunch served on thursdays.
287268,One harvest food outlet. Offers food at a much lower cost than grocery stores. Must be Paid at the time order is placed.
287332,Food pantry serving residents of grundy and Marion counties
287437,"Home, hospital, and nursing home visits, consultations with families, assessments, referrals and Coordination of specialized care."
287817,Provides emergency food bags once per week.
287872,Senior and disabled assistance at home.
287875,Provides subsidized housing for residents of Campbell county.
288074,"Provides Children that are in state custody, a foster home and case management services."
288618,"Adult basic, ged preparation and English as second language classes. Day and evening classes are offered free of charge."
288867,Ged preparation classes are offered to residents of white county
289010,The mission of the Hickman county adult education program is to provide adult education and literacy services
289121,Provides a public library in the city of Tiptonville.
289248,"A twenty lesson program for chemical, alcohol, and tobacco dependent persons. Program is taught in a classroom setting and is based on Christian principals."
289303,"Clothing is provided as available to residents of clay, Jackson, and Putnam counties."
289395,Offers behavioral counseling for clinic patients.
289461,Provides clothing for family members of persons with developmental disabilities.
289534,Provides outpatient alcohol and drug recovery services.
289556,"Information and assistance program linking seniors, people with disabilities, and those who care about them to relevant information and programs."
289794,"Individual, group, and family counseling for teens and their parents."
290335,Trained Aarp volunteers help in filling out federal income and Tennessee tax forms.
290361,"Programs that provide clothing and layettes for infants and young Children whose parents cannot afford it. Also, mothers who have not had their babies may receive maternity clothes if available."
290459,"Thrift store has clothes, housewares, electronics, furniture, books, appliances, beds, linens, construction and remodeling materials for sale."
290633,"Our purpose is to link homeless families with supportive services, employment, training and financial supports."
290763,Provides informational sessions and free vision screenings for community organizations.
290950,"Provides rehabilitation services including physical therapy, occupational therapy, speech therapy, respiratory therapy, and medical nutritional therapy."
291107,Cumberland crisis Pregancy center offers prenatal and parenting classes.
291640,Provides case management services for Children and their families at risk for child abuse in Lauderdale county.
292068,Provides free after school tutoring for Children and youth in elementary through high school every Monday through Friday.
292101,"Education, seminars, workshops, scout troops, recreational activities, and regular tutoring programs. Address problems such as drug abuse, teen pregnancy, violence, and aids, as well as school work."
292142,Provides a meal delivery system to clients 60 and older who are unable to cook for themselves and have no one to cook for them.
298232,Support group of parents of premature or critically ill newborns.
298475,"An independent living facility for seniors, age 62 and older, or disabled individuals, which bases rent on income."
299334,Serves to protect the public against the dangers and nuisances of uncontrolled animals and ensures the legal protection of animals from mistreatment and abuse.
299339,Rescues dogs and cats from shelters and holds them for adoption in the memphis area in foster homes of volunteers.
299359,Provides emergency shelter to giles county residents in need.
299623,Provides limited emergency assistance with utility bill.
299769,"Homeless no more offers case management, transitional and permanent housing for those eligible, job training, and transitional housing. Priority is given to veterans, elderly, and disabled."
299824,"Provides Liheap and emergency utility assistance, distributes Usda commodities and senior aid program that offers job training for persons 55 and older seeking new employment."
299926,Provides emergency shelter for survivors of domestic violence.
300372,"Many service opportunities in the community are aVailable including the operation and staffing of school health clinics, the support of Va outpatient clinics and providing disaster relief services."
300567,Volunteer opportunities for people to assist with art classes and workshops.
301253,Volunteer opportunities available for those interested in volunteering at the warner park nature center.
301359,"Need volunteers to help with various activities and programs. Also accepts Americorp service people, vista, and community cares volunteers."
301404,"Volunteer opportunities available, including general office help and assistance with events throughout the year."
301490,"Provides a nurturing environment to promote healthy living through exercise, sports. Also has mentoring programs, after school programs, and other activities to create a well rounded person."
301965,"Providing 911, rescue, medical, fire protection, and fire safety services."
313431,"Addresses both chronic and episodic challenges to the daily health and welfare of our more elderly clients, providing them personal care and supportive services for independent living."
313639,Va offers substance abuse services for veterans in new jersey.
313943,"Chant thrift shop sells donated clothes, appliances, furniture, electronic equipment, and other household items at discounted prices for individuals and families in need."
314011,"Support group for individuals who have, or have had, a brain tumor, and their friends and family."
314020,"Support group for individuals who are in recovery from a stroke, and their friends and family."
314042,Medicaid reimbursed behavioral health outpatient services for youth 5 to 21. Counseling and child psychiatric services available for clients.
314733,"Elementary age, after school, summer camp and vacation day programs. Activities include educational program, arts and crafts, games, special needs, drama and field trips."
315485,Monthly food pantry distribution. Offers canned and bagged foods.
315543,Food pantry that serves individuals and families in need in the community.
315593,Local food pantry that serves individuals and families in need.
315641,Community food pantry for individuals and families in need.
315659,Assist Cranford families in crisis situation.
315699,Food pantry open to the public.
316176,Volunteers deliver kosher meals on wheels in Clifton.
316186,"Meals on wheels delivers one hot meal per day to homebound older adults Monday through Friday. In addition, weekend service is also available if needed."
316353,"Provides information on senior housing, subsidized housing, rent subsidy and section 8"
316424,Emergency food program. Food distribution will be determined by referral letter.
316447,Provides food to families on a monthly basis for a year. The selection of groceries is determined based on donations.
316596,"Provides temporary and ongoing assistance for families. Also provides preliminary food stamp screening, as well as some clothing and other items."
330134,Provides outpatient community mental health services including assessment and treatment across a wide range of mental health concerns.
330532,Offers a 17 bed halfway house facility as well as a supportive living program to help individuals continue their recovery from drug abuse and alcoholism.
340936,Disability related counseling for youth and adults
340947,"Information on alcoholics anonymous meetings in Nebraska, available by telephone or Online"
340961,Adult day care for a limited number of adults
341109,"Mental health services include mental health assessments, outpatient counseling for adults, medication management, and mental health community support"
341123,"Child care for any child 6 weeks to 12 years and special needs Children of any age. Specializes in Children with special needs, including physical, mental, emotional, and behavioral"
341133,"Provides information on immunizations. Information on immunizations needed for international travel. Reviews immunization records at schools, child care centers, and health care provider offices"
341154,Emergency shelter for abused Women and their Children. 24 hour crisis line for domestic violence. Counseling in individual and group settings. Advocacy
341255,"Therapy services for individuals, Children, couples, and families"
341374,"Basic needs such as clothing, furniture, beds, appliances and household goods at a reduced cost"
342058,"Adult basic education classes include ged preparation and basic skills review in math, reading, and writing, as well as computer literacy and job readiness skills"
342996,Processes complaints about city services. Information and referral
343208,Free food for residents of Platte county
343446,"Congregate meals. Home delivered meals. Activities and games. Operated by eastern Nebraska office on aging and Louisville senior citizens, Inc."
343705,"Immunizations for adults and Children, including travel vaccinations"
348310,This agency provides basic needs assistance for those who qualify.
348644,"Pflag is a grass roots network of almost 500 affiliates in the us. The national office offers resources and services with information, support, and advocacy for issues related to human diversity."
348654,This church provides a food pantry.
348659,This agency provides general medical care to the public.
348856,Delta health center is a community clinic offering general medical care to clients in their area.
